trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,grad_clip_norm,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
33,2025-08-03 17:58:20,4096,0.020767613109321702,4,100,50,64,32,0.01,0.01,0.005,0.01,0.0005,0.005,1e-05,0.005,2.0,logistic_regression,0.1702943509887156,0.4067372256621643,0.7414097772010828,0.1901268915642935,0.426040986154558,0.7940080498482026,0.4449213063215919,0.06481218993621546,0.3480472350372842,0.10927546830478198,0.4449213063215919,0.06481218993621546,0.3480472350372842,0.10927546830478198,110.17839860916138
34,2025-08-03 17:59:44,4096,0.011084750878392028,1,0.5,50,64,16,0.01,0.01,0.005,0.01,5e-05,0.0005,0.01,0.005,2.0,logistic_regression,0.12802112454049175,0.257187720479705,0.7161657798377141,0.08748803172167632,0.2057077900122612,0.9407284744276776,0.445323621469823,0.07484053862508859,0.36802525000034164,0.12438625265296399,0.445323621469823,0.07484053862508859,0.36802525000034164,0.12438625265296399,83.98775506019592
35,2025-08-03 18:01:17,4096,0.09739277454990244,4,0.05,50,64,16,0.01,0.01,0.005,0.01,0.0001,0.01,0.005,0.005,2.0,logistic_regression,0.15338979068303876,0.37686835223346676,0.7391333448094988,0.1563134539408548,0.3704078906631221,0.8431496287465221,0.483280970564542,0.08104181431608788,0.3538098515203009,0.13187665837710782,0.483280970564542,0.08104181431608788,0.3538098515203009,0.13187665837710782,93.13973951339722
36,2025-08-03 18:02:59,4096,0.014945657783446198,10,100,50,64,32,0.01,0.01,0.01,0.005,1e-05,0.001,0.0001,0.005,2.0,logistic_regression,0.1750822735040394,0.3588019097302328,0.6488304532407647,0.06290677540462486,0.20614692185196898,0.9855284422579869,0.4214089459755832,0.07232459248759746,0.3445361034236554,0.11955280755317643,0.4214089459755832,0.07232459248759746,0.3445361034236554,0.11955280755317643,101.60742402076721
37,2025-08-03 18:04:27,4096,0.061106781040627785,12,5,50,64,64,0.01,0.01,0.01,0.01,0.001,1e-05,0.0005,0.005,2.0,logistic_regression,0.250000008715663,0.5000000086956629,0.5111176467520074,0.2499996228203861,0.4999996227597615,0.6972707696945418,0.28916643381340845,0.055102763997165134,0.22603937763702744,0.08860567403804952,0.28916643381340845,0.055102763997165134,0.22603937763702744,0.08860567403804952,88.17992091178894
38,2025-08-03 18:05:43,4096,0.029533814274217668,1,1,50,64,16,0.01,0.01,0.01,0.005,0.01,5e-05,0.005,5e-05,2.0,logistic_regression,0.25000002940306765,0.5000000292643624,0.5102707847566195,0.2499997634266125,0.49999976340507635,0.6145979009128788,0.2876862894178103,0.05620127569099929,0.22365715830899613,0.08982982885117959,0.2876862894178103,0.05620127569099929,0.22365715830899613,0.08982982885117959,75.88578081130981
39,2025-08-03 18:07:08,4096,0.07569004691845298,8,0.05,50,64,64,0.01,0.01,0.005,0.005,0.005,0.0001,5e-05,0.005,2.0,logistic_regression,0.2500007974056608,0.5000007509387209,0.5067860602290668,0.24999652198278025,0.4999964686386433,0.6467002824983648,0.2802581608564375,0.05297661233167966,0.21172728704008542,0.08474823704661524,0.2802581608564375,0.05297661233167966,0.21172728704008542,0.08474823704661524,84.72848916053772
40,2025-08-03 18:08:44,4096,0.043729087755519806,6,5,50,16,32,0.01,0.01,0.01,0.005,0.0001,1e-05,0.001,0.0005,2.0,logistic_regression,0.1200929277990834,0.3105468037323239,0.7549403518466196,0.10075818927463023,0.27567289107276294,0.9466830854928467,0.4908088344276161,0.08231750531537917,0.3787182824393898,0.13523958467327576,0.4908088344276161,0.08231750531537917,0.3787182824393898,0.13523958467327576,96.32428622245789
41,2025-08-03 18:12:09,4096,0.015917045349083364,1,100,50,64,64,0.01,0.01,0.01,0.005,0.0001,1e-05,0.0001,0.005,2.0,logistic_regression,0.10853883465398897,0.2135681560474213,0.7334497260327231,0.0048853852189304535,0.050807376576797625,0.9999995372504882,0.4797668103906997,0.08536498936924168,0.4086031843633776,0.14122531913684985,0.4797668103906997,0.08536498936924168,0.4086031843633776,0.14122531913684985,204.89057540893555
42,2025-08-03 18:14:37,4096,0.015721683639055233,6,100,50,64,64,0.01,0.01,0.01,0.005,0.0001,1e-05,0.0001,0.005,2.0,logistic_regression,0.10079783027797866,0.27838514967605177,0.7946568555611531,0.10627722059128802,0.2815260829673443,0.945110227736114,0.5093782589973789,0.08993621545003545,0.42738865821726685,0.1486018569872572,0.5093782589973789,0.08993621545003545,0.42738865821726685,0.1486018569872572,147.71900391578674
43,2025-08-03 18:16:00,4096,0.034256376633560986,6,100,25,64,64,0.01,0.01,0.005,0.01,0.0001,0.01,0.01,0.005,2.0,logistic_regression,0.14053758019830376,0.35150140460508095,0.7341964890553212,0.09557683487772686,0.28258929276882017,0.9766633983395528,0.4889424532966887,0.08132530120481928,0.36545291392344653,0.13304394571911116,0.4889424532966887,0.08132530120481928,0.36545291392344653,0.13304394571911116,82.50797963142395
44,2025-08-03 18:17:33,4096,0.024089648031225208,6,100,50,64,16,0.01,0.01,0.01,0.005,0.0001,0.001,0.0005,0.005,2.0,logistic_regression,0.13213465165559254,0.3381766655312482,0.7506395410034359,0.1271721638186546,0.3218681448330824,0.9052648264689573,0.49232359251554403,0.08501063075832743,0.3863893852233501,0.13936022164851206,0.49232359251554403,0.08501063075832743,0.3863893852233501,0.13936022164851206,93.55127477645874
45,2025-08-03 18:19:13,4096,0.022138419991488537,6,100,50,64,16,0.01,0.01,0.005,0.005,0.0001,0.001,0.0005,0.005,2.0,logistic_regression,0.12954704693961763,0.3357376321766228,0.7558289571083303,0.13213902863239044,0.32956226544329037,0.8962745957543439,0.49177227525218975,0.08440822111977321,0.3917017876897483,0.13888744406360198,0.49177227525218975,0.08440822111977321,0.3917017876897483,0.13888744406360198,99.37353134155273
46,2025-08-03 18:20:49,4096,0.026869421042761396,6,0.5,40,64,16,0.01,0.01,0.005,0.01,0.0001,0.001,0.0005,0.005,2.0,logistic_regression,0.13879348816569023,0.3494778924021709,0.7408967327977756,0.13136768215331582,0.3288020526313192,0.8960112417566366,0.4865304703350559,0.08189227498228208,0.36728188851785,0.13392377324706387,0.4865304703350559,0.08189227498228208,0.36728188851785,0.13392377324706387,96.09286618232727
47,2025-08-03 18:22:32,4096,0.022029260904371982,6,100,15,64,32,0.01,0.01,0.01,0.005,0.0001,0.0005,0.0001,1e-05,2.0,logistic_regression,0.12818671839749038,0.33372945924320724,0.7655487352405895,0.12065477547030964,0.31654817339647373,0.9337908423093487,0.4911514034921505,0.08359319631467046,0.388976288962687,0.13761265717749815,0.4911514034921505,0.08359319631467046,0.388976288962687,0.13761265717749815,103.39981579780579
48,2025-08-03 18:24:25,4096,0.05626494743187755,6,0.01,50,16,32,0.01,0.01,0.01,0.005,0.0001,0.0005,0.0001,1e-05,0.5,logistic_regression,0.14746489246334693,0.36860501853686956,0.7445159689980739,0.1565101754232937,0.37046541870496624,0.8450776944874472,0.4767157143928428,0.07852586817859675,0.35221230418222654,0.12842036644908644,0.4767157143928428,0.07852586817859675,0.35221230418222654,0.12842036644908644,112.91862559318542
49,2025-08-03 18:25:47,4096,0.08459889417440324,6,100,50,64,64,0.01,0.01,0.01,0.005,0.0001,0.005,1e-05,5e-05,2.0,logistic_regression,0.17156794688168073,0.40546005748548053,0.70222503960039,0.17575837090960056,0.40338177021625204,0.8115485416212768,0.43526125034057883,0.061020552799433025,0.29354014849911964,0.10103760549120427,0.43526125034057883,0.061020552799433025,0.29354014849911964,0.10103760549120427,81.61353349685669
50,2025-08-03 18:27:14,4096,0.014979856897687492,6,50,50,64,32,0.01,0.01,0.01,0.01,0.0001,5e-05,0.005,0.0001,2.0,logistic_regression,0.12248479757753046,0.315275937093178,0.7503424916181125,0.10358064471016616,0.2799187803698377,0.9414896524562457,0.4878844380642136,0.08231750531537917,0.3744346788997474,0.13496390268415262,0.4878844380642136,0.08231750531537917,0.3744346788997474,0.13496390268415262,86.92621898651123
51,2025-08-03 18:29:32,4096,0.024179725819286603,6,100,50,64,64,0.01,0.01,0.01,0.005,0.0001,1e-05,0.0001,0.005,0.5,logistic_regression,0.1051958910809521,0.28748228126227254,0.7867850964070991,0.11109310433261593,0.2897795894117206,0.9363068156924136,0.5028550021346138,0.08742026931254429,0.4108713009279833,0.14416651585167986,0.5028550021346138,0.08742026931254429,0.4108713009279833,0.14416651585167986,138.1825532913208
52,2025-08-03 18:32:01,4096,0.024240482524146782,6,100,50,64,64,0.01,0.01,0.01,0.005,0.0001,1e-05,0.0001,0.005,0.5,logistic_regression,0.10523174379086177,0.28755772584457795,0.7867280136964188,0.11113577167505631,0.2898505145105465,0.9362233915917743,0.5028905834433628,0.08745570517363573,0.41098453582244837,0.14422167168518785,0.5028905834433628,0.08745570517363573,0.41098453582244837,0.14422167168518785,149.2757179737091
53,2025-08-03 18:34:45,4096,0.06582520149638281,2,0.1,10,16,64,0.01,0.01,0.01,0.005,0.0001,1e-05,5e-05,0.005,0.5,logistic_regression,0.10686249982091393,0.2611730339613872,0.7452116759074391,0.030277671630273652,0.141904176733102,0.9992098967356624,0.4975751604929897,0.08515237420269313,0.39878441730134534,0.1403383273369647,0.4975751604929897,0.08515237420269313,0.39878441730134534,0.1403383273369647,163.48640513420105
54,2025-08-03 18:37:30,4096,0.0663500555665125,2,0.1,10,16,64,0.01,0.01,0.01,0.005,5e-05,1e-05,5e-05,0.01,0.5,logistic_regression,0.11201997488782116,0.24102320487706894,0.7183571406465461,0.008372966991008294,0.07196796257061477,0.9999969940477644,0.4804285640043143,0.08302622253720766,0.391910963309814,0.13702395948003487,0.4804285640043143,0.08302622253720766,0.391910963309814,0.13702395948003487,165.0707347393036
