trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
31,2025-08-02 07:26:58,4096,0.04345371869687119,2,50,25,16,16,0.01,0.01,0.005,0.01,0.0005,0.0001,0.001,0.0005,logistic_regression,0.13215190778357255,0.3404439464097586,0.7588644202063568,0.15116878867400468,0.3521838245881711,0.8307833705763124,0.48526426743234563,0.08210489014883061,0.3669435048143981,0.13418534167605758,0.48526426743234563,0.08210489014883061,0.3669435048143981,0.13418534167605758,52.49850559234619
32,2025-08-02 07:27:47,4096,0.037424414085288474,2,50,25,16,16,0.01,0.01,0.005,0.01,0.0005,0.0005,0.001,0.0005,logistic_regression,0.13442551014393295,0.3445818509239838,0.7551202515491708,0.15162010174733453,0.353985463056954,0.8313728753185373,0.48174885122285965,0.08068745570517365,0.3610847706701723,0.1319006026173684,0.48174885122285965,0.08068745570517365,0.3610847706701723,0.1319006026173684,49.69600796699524
33,2025-08-02 07:28:44,4096,0.0310223006860009,1,50,25,16,16,0.01,0.01,0.005,0.01,0.0005,0.0001,0.001,0.005,logistic_regression,0.10987894605147032,0.28260931053499144,0.7611087079056842,0.10005989125067745,0.2607626506121996,0.9331329777163225,0.49377301105620014,0.0846917080085046,0.3867850857447319,0.13895695388597218,0.49377301105620014,0.0846917080085046,0.3867850857447319,0.13895695388597218,57.0621702671051
34,2025-08-02 07:29:46,4096,0.026528024565181187,1,10,30,32,16,0.005,0.005,0.005,0.005,0.001,0.01,0.0001,0.005,logistic_regression,0.11948280460154664,0.3193905390997218,0.7544528324026154,0.15597954126473584,0.35379056845216844,0.8120198328031907,0.4514424371536848,0.06481218993621546,0.3427622959975601,0.10901160792865129,0.4514424371536848,0.06481218993621546,0.3427622959975601,0.10901160792865129,58.514105796813965
35,2025-08-02 07:30:39,4096,0.031241997694011328,1,50,25,16,16,0.01,0.01,0.01,0.01,0.0005,0.0001,0.001,0.005,logistic_regression,0.11013197188205046,0.2840004460795544,0.7615482391253267,0.101978858197092,0.2640605398481239,0.9300695939279895,0.49666543701741744,0.08564847625797306,0.39286191939114845,0.14063654658950261,0.49666543701741744,0.08564847625797306,0.39286191939114845,0.14063654658950261,52.84517455101013
36,2025-08-02 07:31:19,4096,0.03446062505091459,1,0.5,20,32,32,0.01,0.01,0.01,0.01,0.01,5e-05,0.01,0.005,mlp,0.25000004421691985,0.5000000441310423,0.5080182341996072,0.24999953264074912,0.499999532544075,0.6494164451466453,0.29911965796462325,0.058788093550673284,0.2535623298869921,0.09544693941033186,0.29911965796462325,0.058788093550673284,0.2535623298869921,0.09544693941033186,39.56356143951416
37,2025-08-02 07:32:24,4096,0.028771114646507827,1,0.1,15,16,16,0.01,0.005,0.01,0.005,5e-05,0.0001,5e-05,0.005,logistic_regression,0.14290343887523937,0.22864812496167683,0.7128477891079978,0.05995015138974534,0.14278812119286077,0.9709820534024673,0.4345303936621574,0.07944720056697377,0.3861461830024485,0.13178122512813847,0.4345303936621574,0.07944720056697377,0.3861461830024485,0.13178122512813847,65.5497899055481
38,2025-08-02 07:33:22,4096,0.021219683392473238,1,50,25,16,32,0.005,0.01,0.01,0.01,0.0005,0.005,0.001,0.005,mlp,0.11563811468566146,0.29685174767175276,0.7468625965763984,0.09572533879070194,0.2602489595434247,0.9500477848634276,0.4847362857059529,0.07937632884479093,0.3691672169968328,0.13065905723857427,0.4847362857059529,0.07937632884479093,0.3691672169968328,0.13065905723857427,57.903428077697754
39,2025-08-02 07:34:03,4096,0.03376437744222228,1,0.05,40,32,16,0.01,0.01,0.01,0.01,0.005,0.01,0.0005,0.005,logistic_regression,0.24999793763738892,0.49999793702671524,0.5776496123452172,0.2499930788310773,0.49999307734350557,0.7415277213843401,0.3699715425200511,0.059886605244507445,0.28909701604101,0.0992197789296737,0.3699715425200511,0.059886605244507445,0.28909701604101,0.0992197789296737,41.21751260757446
40,2025-08-02 07:34:44,4096,0.057199001893710626,1,100,20,16,16,0.005,0.005,0.01,0.005,0.01,0.0005,0.005,0.0001,mlp,0.2500047155094057,0.5000032513399039,0.501405090780148,0.24994374950235362,0.49994197275703395,0.6608319842527816,0.28529048201976615,0.05489014883061659,0.22908732985933009,0.08856080904159637,0.28529048201976615,0.05489014883061659,0.22908732985933009,0.08856080904159637,40.97533392906189
