trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,dropout_rate,grad_clip_norm,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
41,2025-08-03 16:46:30,4096,0.02071895398061921,8,5,50,64,64,0.005,0.01,0.01,0.01,5e-05,5e-05,1e-05,0.005,0.4,1.0,logistic_regression,0.041312429913244665,0.1021663747105298,0.8434762246015041,0.17219607058677217,0.26338036601475967,0.8676794950974476,0.5982509419094869,0.11424521615875265,0.5377427573783563,0.1884529778094054,0.5982509419094869,0.11424521615875265,0.5377427573783563,0.1884529778094054,123.65739893913269
0,2025-08-03 17:55:13,4096,0.0987649145975439,1,0.01,40,32,64,0.01,0.005,0.01,0.01,0.0005,0.005,0.0005,0.005,0.2,0.5,logistic_regression,0.2502173788670967,0.5001175627983329,0.5058147257278235,0.24443502639029807,0.49427987636002296,0.7899562558177042,0.34867170811387926,0.058752657689581864,0.2955374473611354,0.09801916695797064,0.34867170811387926,0.058752657689581864,0.2955374473611354,0.09801916695797064,66.02129030227661
1,2025-08-03 17:56:47,4096,0.08345863109537667,8,5,50,64,16,0.01,0.005,0.005,0.01,0.0005,5e-05,0.001,0.0001,0.4,0.5,logistic_regression,0.24998002629326904,0.4999743876762849,0.5884920186695146,0.2496730013594043,0.49966033567208773,0.6304981842076436,0.45992396079469444,0.07342310418143161,0.3822580059880237,0.12318513439105598,0.45992396079469444,0.07342310418143161,0.3822580059880237,0.12318513439105598,93.73080587387085
2,2025-08-03 17:58:23,4096,0.07364288404994689,4,0.5,5,64,64,0.01,0.005,0.01,0.005,0.0001,0.001,1e-05,0.005,0.1,2.0,logistic_regression,0.250451361659105,0.500259663326449,0.49655699396026376,0.24226071855428274,0.49198134831583856,0.8051521487416411,0.33987865213255325,0.055386250885896535,0.27657201665082964,0.09229043889106613,0.33987865213255325,0.055386250885896535,0.27657201665082964,0.09229043889106613,96.84662652015686
3,2025-08-03 17:59:27,4096,0.06360275502006713,1,10,15,32,32,0.005,0.01,0.01,0.01,5e-05,0.0001,5e-05,5e-05,0.3,0.5,logistic_regression,0.25004058694783626,0.5000216569002868,0.5006378731001978,0.24870859718285998,0.49869126660458757,0.6850410317163966,0.2628715277066997,0.04734231041814317,0.18919786262886795,0.07573397641207362,0.2628715277066997,0.04734231041814317,0.18919786262886795,0.07573397641207362,63.731301069259644
5,2025-08-03 18:01:52,4096,0.06529387861066029,8,10,30,32,16,0.01,0.01,0.01,0.005,0.001,0.001,0.01,0.0001,0.1,2.0,logistic_regression,0.25005141126795183,0.5000265289324857,0.5059922033313364,0.24856872962028356,0.49854286516598223,0.671448883223504,0.3142522414658377,0.057299787384833455,0.26672308333857797,0.09433393347702039,0.3142522414658377,0.057299787384833455,0.26672308333857797,0.09433393347702039,60.8526885509491
6,2025-08-03 18:02:56,4096,0.07512436148805442,10,5,30,32,64,0.01,0.005,0.005,0.005,0.01,0.0005,0.005,0.001,0.3,2.0,logistic_regression,0.250030569565727,0.5000224625913244,0.5055329189958153,0.24844728053385173,0.49843066822121895,0.7436074978122984,0.349439415621438,0.06265060240963856,0.2820731296970644,0.1025287779932896,0.349439415621438,0.06265060240963856,0.2820731296970644,0.1025287779932896,64.03444242477417
9,2025-08-03 18:06:10,4096,0.06572990587825273,10,0.05,50,64,32,0.005,0.01,0.005,0.005,1e-05,0.0001,0.0005,1e-05,0.2,2.0,logistic_regression,0.25003610684956823,0.5000218190756324,0.499617211560898,0.24863178503255767,0.4986180749767273,0.7228438600294862,0.2719474107841897,0.04978738483345145,0.20307125906335155,0.07996868738825368,0.2719474107841897,0.04978738483345145,0.20307125906335155,0.07996868738825368,68.66553235054016
11,2025-08-03 18:08:29,4096,0.08510576843710212,2,5,50,64,16,0.01,0.005,0.005,0.01,0.01,0.0005,0.005,0.01,0.4,0.5,logistic_regression,0.25000471575058003,0.5000028455127022,0.5330532186636073,0.2499889144315692,0.4999846741928593,0.5353082378990337,0.44466704147307123,0.060914245216158756,0.3490040292123576,0.10372466095349107,0.44466704147307123,0.060914245216158756,0.3490040292123576,0.10372466095349107,77.49854159355164
12,2025-08-03 18:09:59,4096,0.04135674504037799,2,0.1,50,64,16,0.005,0.005,0.005,0.01,0.0005,0.01,0.0001,0.01,0.4,0.5,logistic_regression,0.25003655687822235,0.4999591135927702,0.5378462839685761,0.24791345352895816,0.4978000224928445,0.6755614973335119,0.41601536841494796,0.06470588235294118,0.35110454093805055,0.10927349506879522,0.41601536841494796,0.06470588235294118,0.35110454093805055,0.10927349506879522,89.68933725357056
