trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
38,2025-08-01 21:17:05,4096,8.08629716457347,14,1,50,512,128,0.05,0.05,0.05,0.05,5e-05,0.0001,5e-06,1e-05,mlp,0.25,0.5,0.5,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,75.98301005363464
39,2025-08-01 21:17:58,4096,9.172616268928492,16,5,20,512,16,0.05,0.005,0.01,0.05,0.005,0.0005,0.001,5e-06,logistic_regression,0.25,0.5,0.5,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,53.14896321296692
40,2025-08-01 21:18:55,4096,6.879747636441822,6,0.1,5,512,16,0.05,0.05,0.05,0.05,0.0001,0.0001,5e-05,0.0001,logistic_regression,0.25,0.5,0.5,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,56.96721339225769
41,2025-08-01 21:19:57,4096,9.257991790825242,1,1,15,512,16,0.01,0.05,0.05,0.05,5e-05,0.0001,0.0001,5e-06,logistic_regression,0.15192925792227027,0.35566600698450124,0.6468867412180078,0.4338472630290424,0.05832742735648476,0.2714356060538382,0.09602131828020145,0.4338472630290424,0.05832742735648476,0.2714356060538382,0.09602131828020145,61.68966555595398
42,2025-08-01 21:21:03,4096,6.091078018050089,8,10,15,32,512,0.05,0.05,0.05,0.05,1e-06,0.005,0.001,0.005,logistic_regression,0.27860771182404986,0.48667263259995147,0.5229585912806862,0.3578898640786018,0.06133947554925585,0.2714368435484674,0.1000659762879282,0.3578898640786018,0.06133947554925585,0.2714368435484674,0.1000659762879282,66.56110954284668
43,2025-08-01 21:22:03,4096,8.865076970027228,1,0.01,10,256,32,0.05,0.05,0.05,0.05,0.001,0.0001,1e-05,0.0005,logistic_regression,0.25,0.5,0.5,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,59.62856698036194
44,2025-08-01 21:22:48,4096,7.8518264776261075,20,1,30,16,128,0.01,0.05,0.05,0.01,0.0005,1e-06,0.0005,5e-06,logistic_regression,0.250000084761055,0.5000000843490234,0.5007745056582588,0.28462836667686525,0.05283486888731397,0.22578727824141198,0.08563167978744324,0.28462836667686525,0.05283486888731397,0.22578727824141198,0.08563167978744324,44.73190236091614
45,2025-08-01 21:23:32,4096,6.9064141920635365,4,50,15,128,256,0.05,0.05,0.005,0.05,5e-05,5e-05,0.001,0.0005,logistic_regression,0.25,0.5,0.5,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,0.2870707582917691,0.04953933380581148,0.19350661404370034,0.07888375701436286,43.716840982437134
46,2025-08-01 21:25:55,4096,8.618563506468714,2,5,40,512,16,0.005,0.005,0.05,0.01,5e-06,1e-06,5e-06,5e-05,logistic_regression,0.1794321512540977,0.31822327218063967,0.6700594404785206,0.3768674660710977,0.07409638554216869,0.343993286074762,0.1219291500329946,0.3768674660710977,0.07409638554216869,0.343993286074762,0.1219291500329946,143.25099158287048
47,2025-08-01 21:28:14,4096,9.3632740610523,2,5,40,512,16,0.005,0.005,0.01,0.01,5e-06,1e-06,5e-06,5e-05,mlp,0.18035518784205198,0.31959231584295594,0.6635196871245205,0.3774186972608037,0.07416725726435153,0.34324025455796603,0.1219776239873652,0.3774186972608037,0.07416725726435153,0.34324025455796603,0.1219776239873652,138.78431344032288
