trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_5,precision_5,recall_5,f1_5,ndcg,precision,recall,f1,training_time
50,2025-08-01 11:29:55,128,0.04633963587074502,1,0.01,5,64,32,0.01,0.005,0.005,0.01,0.005,0.001,0.001,1e-05,logistic_regression,0.19671463460728836,0.43090698656401244,0.6854435831180017,0.5284236342915282,0.23724137931034486,0.3430024094679267,0.2804833633817257,0.5284236342915282,0.23724137931034486,0.3430024094679267,0.2804833633817257,28.768280029296875
51,2025-08-01 11:30:19,128,0.03758046493222184,1,0.01,5,64,32,0.01,0.005,0.005,0.01,0.005,1e-05,0.0005,1e-05,logistic_regression,0.18747473479028376,0.41861370702209916,0.7139884028546819,0.5655681272339762,0.25517241379310346,0.38928982894500136,0.30827570252977043,0.5655681272339762,0.25517241379310346,0.38928982894500136,0.30827570252977043,23.835941076278687
52,2025-08-01 11:30:35,128,0.040456775512797215,1,5,10,64,32,0.01,0.005,0.005,0.01,0.005,1e-05,0.0005,1e-05,logistic_regression,0.1812211456088975,0.40931213161875973,0.7200824412452319,0.5559885855834807,0.2537931034482758,0.375939290594463,0.3030201405253947,0.5559885855834807,0.2537931034482758,0.375939290594463,0.3030201405253947,16.375979900360107
53,2025-08-01 11:30:57,128,0.035442886244383104,1,0.01,5,64,32,0.01,0.005,0.005,0.01,1e-05,1e-05,0.001,0.005,logistic_regression,0.37316501781571293,0.4355677397683233,0.5749976928755999,0.4794742969619363,0.2220689655172414,0.3266735180528284,0.26440107113232547,0.4794742969619363,0.2220689655172414,0.3266735180528284,0.26440107113232547,21.535734176635742
54,2025-08-01 11:31:31,128,0.0379498445091719,4,0.01,5,64,32,0.01,0.005,0.005,0.01,0.0001,1e-05,5e-05,1e-05,logistic_regression,0.31679868124962857,0.43517660790485024,0.5832616586686354,0.5108979626294701,0.2337931034482759,0.36324473419301007,0.2844848629820083,0.5108979626294701,0.2337931034482759,0.36324473419301007,0.2844848629820083,34.15912175178528
55,2025-08-01 11:31:49,128,0.041970938647282366,1,0.05,5,64,32,0.01,0.005,0.005,0.01,0.005,1e-05,0.0005,5e-05,logistic_regression,0.17412597231255306,0.3998369754565045,0.7431632213608957,0.57761221780162,0.26413793103448274,0.4003001787484546,0.31826729818942023,0.57761221780162,0.26413793103448274,0.4003001787484546,0.31826729818942023,17.91347908973694
56,2025-08-01 11:32:06,128,0.047777323064845216,6,0.05,10,64,64,0.01,0.005,0.005,0.01,0.005,1e-05,0.0005,5e-05,logistic_regression,0.24999974178697396,0.49999974176673023,0.601577150239941,0.48656173626159,0.21448275862068963,0.31231561541906366,0.25431481210435264,0.48656173626159,0.21448275862068963,0.31231561541906366,0.25431481210435264,16.518863916397095
57,2025-08-01 11:32:34,128,0.041727990028908285,12,0.05,20,32,32,0.01,0.005,0.005,0.01,5e-05,0.005,0.0001,5e-05,logistic_regression,0.23052544239011552,0.43547717408951503,0.6152091792789467,0.5275805037028068,0.22827586206896552,0.3327233877233877,0.2707765409353967,0.5275805037028068,0.22827586206896552,0.3327233877233877,0.2707765409353967,27.748385667800903
58,2025-08-01 11:32:57,128,0.037753080460139726,10,0.05,5,64,64,0.01,0.005,0.005,0.01,0.005,5e-05,1e-06,5e-05,logistic_regression,0.2499997939188505,0.49999979390794863,0.5623940260858866,0.46042896903049296,0.20689655172413793,0.2980626557350695,0.2442499701297417,0.46042896903049296,0.20689655172413793,0.2980626557350695,0.2442499701297417,23.616255283355713
59,2025-08-01 11:33:26,128,0.045626778435656316,4,0.05,5,64,32,0.01,0.005,0.005,0.01,0.0005,1e-06,5e-06,5e-05,logistic_regression,0.2336127846109594,0.4282508985556919,0.6134262335425126,0.5369691804364494,0.24000000000000002,0.37284517206931,0.29202430034486526,0.5369691804364494,0.24000000000000002,0.37284517206931,0.29202430034486526,28.765901565551758
