trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
34,2025-08-03 14:17:23,4096,0.020754373006619677,2,0.05,50,16,0.01,0.005,0.005,0.01,0.0001,0.001,0.01,0.0001,mlp,0.12488486514044661,0.2756004291223842,0.7109726972881436,0.07660766029670942,0.20517305154522614,0.9593096618908737,0.4695387215822224,0.08143160878809355,0.3732327827718227,0.13369397963755578,0.4695387215822224,0.08143160878809355,0.3732327827718227,0.13369397963755578,58.24787926673889
35,2025-08-03 14:18:48,4096,0.07688988694913486,1,0.05,50,16,0.01,0.005,0.005,0.01,0.0001,1e-05,1e-05,1e-05,logistic_regression,0.1205505327404746,0.24793183176612343,0.7207923482893179,0.06991939636016332,0.18405708452202557,0.9652385467194224,0.47080875500406916,0.08274273564847626,0.3940656082125326,0.13676801955458384,0.47080875500406916,0.08274273564847626,0.3940656082125326,0.13676801955458384,84.73156476020813
36,2025-08-03 14:19:40,4096,0.03671059724672952,2,0.05,40,16,0.005,0.005,0.005,0.005,0.005,0.01,0.001,0.01,logistic_regression,0.249999397598293,0.4999982817707727,0.5026743349454974,0.24994926415360427,0.49994847489813893,0.6722883755922344,0.2913362225905504,0.0557760453579022,0.233032639722895,0.09000864416123532,0.2913362225905504,0.0557760453579022,0.233032639722895,0.09000864416123532,52.252074003219604
37,2025-08-03 14:20:40,4096,0.026584003791863813,2,0.05,50,16,0.01,0.01,0.01,0.01,1e-05,0.0005,0.01,0.001,logistic_regression,0.15272523798424262,0.2774122784322396,0.6789300746697824,0.06669999792945752,0.16761344013695206,0.9650663758749758,0.4340656051558944,0.07725017717930546,0.3568706955110803,0.12700759715829008,0.4340656051558944,0.07725017717930546,0.3568706955110803,0.12700759715829008,59.81135964393616
38,2025-08-03 14:21:31,4096,0.054527747777292614,10,1,50,16,0.005,0.005,0.005,0.005,0.01,0.0001,0.005,0.0005,mlp,0.24999998591910386,0.4999992675213995,0.5019978584803833,0.24999459416664277,0.49999418695280623,0.5886350836045051,0.28286053960134977,0.05219702338766832,0.22086396463542948,0.08443858356356265,0.28286053960134977,0.05219702338766832,0.22086396463542948,0.08443858356356265,50.42577528953552
39,2025-08-03 14:22:39,4096,0.04705898714456097,2,0.01,50,16,0.01,0.01,0.01,0.01,0.0001,1e-05,5e-05,0.0001,logistic_regression,0.10994415447215748,0.24897456440818974,0.7462496467823858,0.08157635246053062,0.2127279645902225,0.9559487872422678,0.48525107645174687,0.08571934798015592,0.405928845839161,0.14154819006396185,0.48525107645174687,0.08571934798015592,0.405928845839161,0.14154819006396185,68.40497922897339
40,2025-08-03 14:23:52,4096,0.04363988335175733,2,0.01,50,16,0.01,0.01,0.01,0.01,0.0001,1e-05,5e-05,0.0001,logistic_regression,0.11064771301057005,0.24649066248895501,0.7447061579755683,0.07965661307829322,0.20830129864511931,0.9580312405405013,0.47994964352354813,0.08497519489723601,0.40389526557668787,0.14040970639616146,0.47994964352354813,0.08497519489723601,0.40389526557668787,0.14040970639616146,73.233163356781
41,2025-08-03 14:25:05,4096,0.044313961718514885,2,0.01,50,16,0.01,0.01,0.01,0.01,0.0001,1e-05,5e-05,0.0001,logistic_regression,0.11060550425891344,0.246920216589249,0.7447061277767631,0.07972982499469523,0.2086601009268573,0.9580061416263663,0.481061910041932,0.0852586817859674,0.4052411406804428,0.14087803451640335,0.481061910041932,0.0852586817859674,0.4052411406804428,0.14087803451640335,72.86511945724487
42,2025-08-03 14:26:19,4096,0.04241721065036985,2,0.01,50,16,0.01,0.01,0.01,0.01,0.0001,1e-05,5e-05,0.0001,logistic_regression,0.11072492915064423,0.24571017369398696,0.7447050243588828,0.07952446217977058,0.2076598337830507,0.9580769518356516,0.47901869292290267,0.08490432317505316,0.4033285666502524,0.14027870584817403,0.47901869292290267,0.08490432317505316,0.4033285666502524,0.14027870584817403,73.26076316833496
43,2025-08-03 14:27:31,4096,0.050117435060745806,2,0.01,25,16,0.01,0.01,0.01,0.01,0.0001,1e-05,5e-05,0.0001,logistic_regression,0.10974405702673101,0.2508570494966371,0.7464596856668009,0.08198770513569192,0.2144835039667501,0.95570658720631,0.48625002111438714,0.08532955350815025,0.40499543347894507,0.1409598956967195,0.48625002111438714,0.08532955350815025,0.40499543347894507,0.1409598956967195,72.73545408248901
